what,kind,bundleId,bundleVersion,description,time
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018799974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335018802550
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1335018808451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335018809123
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335018810868
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018810868
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018812468
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018812521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335018814559
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1335018819611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335018820354
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335018823526
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018823527
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018824950
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018825003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335018827492
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1335018831411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335018832164
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335018833766
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018833766
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018835372
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018835425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335018838028
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1335018846818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335018848484
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1335018858898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335018859120
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335018860585
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018860585
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018863183
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018863245
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335018866328
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335018866328
